title,description,posted_date,price,partitioning,surface,floor,rooms,terrace,parking,cellar,source_offer,neighborhood,posted_date_month,price_sqm
"inchiriere studio, centru","capital imobiliare va propune spre inchiriere un studio situat in centrul orasului cluj-napoca.proprietatea dispune de 30 mp, iar compartimentarea este urmatoarea: 1 dormitor, 1 chicineta si 1 baie.pentru mai multe detalii nu ezitati sa ne contactati!id intern: ci3172confort: 1tip imobil: bloc de apartamentenumăr băi: 1",2019-09-27,600.0,semidecomandat,30.0,1,1.0,False,False,False,real estate agency,centru,9,20.0
chirie 2 camere gheorgheni,"inchiriez de la 1 octombrie apartament 2 camere, parter, strada herculane, aproape de iulius mall si fsega (5 min pe jos). apartamentul este mobilat si utilat.",2019-09-23,400.0,semidecomandat,48.0,nan,2.0,False,False,False,owner,gheorgheni,9,8.333333333333334
"apartament 2 camere decomandat, 45 mp, etajul 2 din 4;","beneficiaza de aceasta oferta exceptionala acum! imobilul face parte dintr-o constructie noua. oferta de inchiriere apartament in localitatea cluj-napoca, cartierul zorilor. apartamentul de inchiriere are 2 camere, este situat la etajul 2 din 4 etaje, iar suprafata acestuia este de 45 mp. apartamentul este confort 1 decomandat si este dotat cu centrala proprie, 1 baie, 1 balcon, faianta clasica, gresie clasica, parchet laminat. imobilul mobilat si utilat clasic mai are si alte dotari precum frigider, masina de spalat, aragaz. daca va place aceasta oferta sau pentru alte oferte nu ezitati sa ne contactati telefonic sau la sediul nostru edil, str. iuliu maniu, nr. 17, cluj-napoca.  (id:apcj303755)",2019-09-03,450.0,decomandat,45.0,2,2.0,True,False,False,unknown,zorilor,9,10.0
"pf - dau in chirie ap.2 camere, gheorgheni, brancusi","persoana fizica, ofer spre inchiriere ap.doua camere pe strada c-tin brancusi, in spate la diana, vis-a-vis de statia de autobuz malinului. apartamentul este semidecomandat, are centrala proprie,camara de alimente, geamuri termopan cu 6 camere si sticla tripla, masina de spalat haine, electrocasnice noi, complet contorizat, usa intrare metalica, parchet din lemn masiv. este  aproape de magazine, banci parcuri si mijloace de transport in comun. 5 minute pana in centru sau 15 minute pe jos. nu doresc colaborare cu agentii imobiliare.confort: 1tip imobil: bloc de apartamente",2019-09-03,340.0,semidecomandat,47.0,nan,2.0,False,False,False,unknown,gheorgheni,9,7.23404255319149
inchiriez apartament 2 camere langa vivo/polus mall,"tel: 0774480891disponibil din 15.08.2019. apartamentul este in curs de amenajare se poate contracta.dau in chirie apartament 40 mp parter compus din: living cu bucatarie, dormitor, hol, baie si loc de parcare propriu situat pe str razoare cu intrare si din parcarea vivo/polus mall.apartament la parter ideal si pentru birouri (activitati it, proiectare, avocatura, contabilitate, consultanta, agentie imobiliara).amplasare foarte buna cu acces din parcarea vivo/polus mall.confort: 1tip imobil: bloc de apartamente",2019-09-03,400.0,semidecomandat,40.0,nan,2.0,False,True,False,unknown,floresti,9,10.0
"apartament 2 camere semidecomandat, intre lacuri","pet friendly!capital imobiliare va propune spre inchiriere un apartament 2 camere semidecomandat, situat intr-o zona excelenta a cartierului intre lacuri, cluj-napoca. proprietatea dispune de o suprafata utila de 40 mp, iar compartimentarea este urmatoarea: 1 living + bucatarie, 1 dormitor, 1 baie, 1 hol si 1 terasa cu o suprafata de 20 mp. apartamentul este disponibil pentru vizionari din data de 25 septembrie.pentru mai multe detalii, nu ezitati sa ne contactati!id intern: ci3066confort: 1tip imobil: bloc de apartamentenumăr băi: 1",2019-09-25,400.0,semidecomandat,40.0,ground floor,2.0,True,False,False,real estate agency,intre lacuri,9,10.0
de inchiriat ap.2 camere decomandat cu loc de parcare,"anira imobiliare va propune spre inchiriere un apartament cu 2 camere (cu loc de parcare), decomandat, confort 1, mobilat si utilat, situat in cartierul gheorgheni, zona iulius mall, intr-un imobil construit in anul 1980 , disponibil la etajul 7 din 10, cu o suprafata de 60 mp. imobilul este situat in apropiere de piata, statie transport in comun, scoli, gradinita, magazine, banci, farmacii, iulius mall, fsega, baza sportiva gheorgheni, p-ta mercur, etc. id intern: an887.comision: 50%imediat",2019-09-27,400.0,decomandat,60.0,7,2.0,True,True,False,real estate agency,gheorgheni,9,6.666666666666667
garsoniera in zona centrala,"elite ofera spre inchiriere garsoniera in cartierul central. imobilul este situat in zona magazin central, in constructie veche, este cu trecere si are suprafata utila de 19 mp. imobilul are o baie si este orientat est. este finisat modern, are parchet laminat, faianta/gresie moderna, tamplarie exterior termopan, tamplarie interior lemn, usa intrare metalica. locuinta are centrala termica si este izolata termic exterior. dispune de parcare. imobilul este mobilat complet, cu mobilier modern si este utilat partial.garsoniera este situta in zona centrala. aproape de strada ferdinand, in cladire cu putine apartamente, curte si acces auto.garsoniera benficiaza de o boxa de 3.8 mp, precum si o terasa spatioasa, la intrare.id 62894comision: 50%",2019-09-27,260.0,semidecomandat,19.0,ground floor,1.0,True,True,True,real estate agency,centru,9,13.68421052631579
"inchiriere  apartament 3 camere, cartier manastur","apartament de inchiriere in cluj-napoca, cartierul manastur, in apropiere de minerva, cu 3 camere, situat la mansarda din 4 etaje, avand o suprafata de 55 mp. apartamentul este confort unic semidecomandat si este dotat cu centrala proprie, 1 baie. imobilul mobilat si utilat modern mai are si alte dotari precum frigider, masina de spalat, aragaz. se inchireaza prin agentie .",2019-09-27,490.0,semidecomandat,55.0,attic,3.0,False,False,False,owner,manastur,9,8.909090909090908
"inchiriere apartament 2 camere, cartierul plopilor","apartament cu 3 camere, situat la etajul 7 din 8 etaje, in cluj-napoca, cartierul plopilor. suprafata acestuia este de 80 mp. apartamentul este confort sporit decomandat si este dotat cu centrala proprie, 1 baie, 1 balcon, faianta moderna, gresie moderna, parchet laminat. acesta are loc de parcare. imobilul mobilat si utilat modern mai are si alte dotari precum frigider, masina de spalat, aragaz. se inchireaza prin agentie .",2019-09-27,600.0,decomandat,80.0,7,3.0,True,True,False,owner,plopilor,9,7.5
